YEAR,BY AIR,BY SEA,BY LAND,TOTAL
1970,47726,92943,0,140669
1971,48255,83754,0,132009
1972,49109,90169,0,139278
1973,57460,77140,0,134600
1974,53399,86525,0,139924
1975,53958,75685,0,129643
1976,44490,80729,0,125219
1977,43585,77584,0,121169
1978,47066,72300,0,119366
1979,54079,94369,0,148448
1980,51035,102721,0,153756
1981,47528,84845,0,132373
1982,46180,81063,"46,595",173838
1983,45565,93456,"643,609",782630
1984,47813,80654,"477,571",606038
1985,73664,77952,"2,260,039",2411655
1986,89842,83808,"2,634,250",2807900
1987,123287,97955,"2,963,248",3184490
1988,156075,85539,"3,529,005",3770619
1989,162438,78014,"3,743,725",3984177
1990,132468,84815,"4,155,975",4373258
1991,96829,63655,"3,909,741",4070225
1992,87826,92312,"4,096,033",4276171
1993,80449,81560,"4,117,986",4279995
1994,70180,87857,"4,011,370",4169407
1995,72017,102924,"5,329,717",5504658
1996,66219,113988,"6,270,235",6450442
1997,73698,87043,"5,834,434",5995175
1998,76477,111172,"6,516,934",6704583
1999,81922,145221,"5,917,946",6145089
2000,85255,159097,"7,031,221",7275573
2001,92553,145987,"7,048,108",7286648
2002,96439,136910,7375112,7608461
2003,114484,164052,7502815,7781351
2004,134497,182677,7311555,7628729
2005,150303,206030,7434420,7790753
2006,143914,225567,7815661,8185142
2007,159666,292675,8977761,9430102
2008,164939,325181,9664882,10155002
2009,160713,363213,9778312,10302238
2010,131147,328264,11071345,11530756
2011,164428,351534,11424581,11940543
2012,167266,309051,11310698,11787015
2013,165486,293285,10652773,11111544
2014,175795,313449,9761865,10251109
2015,188217,357832,9625684,10171733
2016,231071,420579,9463591,10115241
2017,243314,420060,9876518,10539892
2018,183691,419893,10401802,11005386
2019,208368,341612,10786442,11336422
2020,76924,17509,5343295,5437728
2021,113450,33138,5729442,5876030
2022,185829,226462,7708394,8120685
2023,202062,285060,8795789,9282911
